Health_Metric,School_Metric,R_Squared,File,N_Counties
Infant Mortality Rate,SCHOOLS_PER_10K,0.8849101292797465,infant_mortality.csv,12
Drug Overdose Mortality Rate (Hispanic),MIDDLE_PER_10K,0.878006896719805,drug_overdose_deaths.csv,10
Child Mortality Rate (White),COLLEGE_PER_10K,0.8462136288190872,child_mortality.csv,10
% Rural,SCHOOLS_PER_10K,0.8360658462848651,demographics.csv,13
% Vaccinated (Asian),PAROCHIAL_PER_10K,0.8331505558654452,flu_vaccinations.csv,10
MV Mortality Rate (Hispanic),MIDDLE_PER_10K,0.8294972821142209,motor_vehicle_crash_deaths.csv,11
% American Indian & Alaska Native,SCHOOLS_PER_10K,0.8283408991123695,demographics.csv,13
% American Indian & Alaska Native,PRIMARY_PER_10K,0.8218936028907363,demographics.csv,13
Homicide Rate,SCHOOLS_PER_10K,0.8113075214145112,homicides.csv,12
Infant Mortality Rate,PRIMARY_PER_10K,0.8077304616890997,infant_mortality.csv,12
Motor Vehicle Mortality Rate,SCHOOLS_PER_10K,0.8066735729735571,motor_vehicle_crash_deaths.csv,13
% Vaccinated (Asian),PRIMARY_PER_10K,0.8004663556676224,flu_vaccinations.csv,10
Infant Mortality Rate,MIDDLE_PER_10K,0.7985759877786642,infant_mortality.csv,12
YPLL Rate (Hispanic),MIDDLE_PER_10K,0.7977972579951581,premature_death.csv,12
MV Mortality Rate (Hispanic),SCHOOLS_PER_10K,0.795760620411724,motor_vehicle_crash_deaths.csv,11
Motor Vehicle Mortality Rate,PRIMARY_PER_10K,0.7949385169019272,motor_vehicle_crash_deaths.csv,13
% Vaccinated (Asian),SCHOOLS_PER_10K,0.7943135131318386,flu_vaccinations.csv,10
Homicide Rate,PRIMARY_PER_10K,0.7936859389513807,homicides.csv,12
Child Mortality Rate,MIDDLE_PER_10K,0.7928251989013476,child_mortality.csv,12
% Frequent Mental Distress,PRIMARY_PER_10K,0.7890112595777916,frequent_mental_distress.csv,13
% Frequent Mental Distress,SCHOOLS_PER_10K,0.7875271690536255,frequent_mental_distress.csv,13
% Frequent Physical Distress,SCHOOLS_PER_10K,0.786361333318432,frequent_physical_distress.csv,13
High School Graduation Rate,CHARTER_PER_10K,0.782395825403446,high_school_graduation.csv,11
% Frequent Physical Distress,PRIMARY_PER_10K,0.7692253002509486,frequent_physical_distress.csv,13
MV Mortality Rate (Hispanic),PRIMARY_PER_10K,0.7520527474178713,motor_vehicle_crash_deaths.csv,11
% Rural,PRIMARY_PER_10K,0.7464385489249954,demographics.csv,13
% Severe Housing Cost Burden,MIDDLE_PER_10K,0.7437353474248197,severe_housing_cost_burden.csv,13
% Limited Access to Healthy Foods,SCHOOLS_PER_10K,0.7432452584565379,limited_access_to_healthy_foods.csv,13
% Frequent Physical Distress,COLLEGE_PER_10K,0.7411954544633232,frequent_physical_distress.csv,12
% LBW (AIAN),CHARTER_PER_10K,0.7199299798330194,low_birthweight.csv,10
Motor Vehicle Mortality Rate,COLLEGE_PER_10K,0.7162185204085045,motor_vehicle_crash_deaths.csv,12
% Limited Access to Healthy Foods,PRIMARY_PER_10K,0.7119284797046352,limited_access_to_healthy_foods.csv,13
Juvenile Arrest Rate,COLLEGE_PER_10K,0.7113156273384053,juvenile_arrests.csv,12
% Vaccinated (White),MIDDLE_PER_10K,0.7112894136379717,flu_vaccinations.csv,13
% With Annual Mammogram,SCHOOLS_PER_10K,0.7109343772848936,mammography_screening.csv,13
% Uninsured,COLLEGE_PER_10K,0.7088692598869548,uninsured_adults.csv,12
% Children in Poverty,COLLEGE_PER_10K,0.706953257329179,children_in_poverty.csv,12
% Fair or Poor Health,COLLEGE_PER_10K,0.7060818559402374,poor_or_fair_health.csv,12
% Rural,MIDDLE_PER_10K,0.6935021191467639,demographics.csv,13
% Limited Access to Healthy Foods,MIDDLE_PER_10K,0.6865980476242198,limited_access_to_healthy_foods.csv,13
% American Indian & Alaska Native,COLLEGE_PER_10K,0.6860665547838043,demographics.csv,12
% Screened (White),SCHOOLS_PER_10K,0.6840210509153133,mammography_screening.csv,13
% Excessive Drinking,PRIMARY_PER_10K,0.6834619033702081,excessive_drinking.csv,13
% Frequent Mental Distress,COLLEGE_PER_10K,0.6754199454583648,frequent_mental_distress.csv,12
Infant Mortality Rate,COLLEGE_PER_10K,0.6742863601581667,infant_mortality.csv,12
Homicide Rate,COLLEGE_PER_10K,0.6726712508108639,homicides.csv,12
% Screened (White),MIDDLE_PER_10K,0.6715014315983975,mammography_screening.csv,13
% With Annual Mammogram,PRIMARY_PER_10K,0.6690970851453406,mammography_screening.csv,13
% Food Insecure,COLLEGE_PER_10K,0.6662745878458476,food_insecurity.csv,12
% Excessive Drinking,SCHOOLS_PER_10K,0.663778727637637,excessive_drinking.csv,13
% Food Insecure,PRIMARY_PER_10K,0.6628806033225353,food_insecurity.csv,13
MV Mortality Rate (Hispanic),COLLEGE_PER_10K,0.6623931398813958,motor_vehicle_crash_deaths.csv,11
% Limited Access to Healthy Foods,COLLEGE_PER_10K,0.6594226053625245,limited_access_to_healthy_foods.csv,12
% Fair or Poor Health,SCHOOLS_PER_10K,0.6588675696770435,poor_or_fair_health.csv,13
% Excessive Drinking,COLLEGE_PER_10K,0.6574782147866911,excessive_drinking.csv,12
% Children in Poverty,SCHOOLS_PER_10K,0.6487600647544403,children_in_poverty.csv,13
Suicide Rate (Hispanic),COLLEGE_PER_10K,0.6460108798456349,suicides.csv,10
% Uninsured,PRIMARY_PER_10K,0.6455268539730517,uninsured_adults.csv,13
% Fair or Poor Health,PRIMARY_PER_10K,0.6450717364312991,poor_or_fair_health.csv,13
% Screened (White),PRIMARY_PER_10K,0.6438828077949037,mammography_screening.csv,13
% Long Commute - Drives Alone,COLLEGE_PER_10K,0.6401976864569405,long_commute__driving_alone.csv,12
% Food Insecure,SCHOOLS_PER_10K,0.6325241419749146,food_insecurity.csv,13
% Children in Poverty,PRIMARY_PER_10K,0.6306381095309395,children_in_poverty.csv,13
Child Mortality Rate,SCHOOLS_PER_10K,0.6247510893489696,child_mortality.csv,12
